value,label
1ST,1ST - FirstBlood
2GIVE,2GIVE - GiveCoin
808,808 - 808Coin
ABT,ABT - ArcBlock
ABY,ABY - ArtByte
AC,AC - AsiaCoin
ACT,ACT - Achain
ADA,ADA - Cardano
ADT,ADT - adToken
ADX,ADX - AdEx
AE,AE - Aeternity
AEON,AEON - Aeon
AGI,AGI - SingularityNET
AGRS,AGRS - IDNI-Agoras
AI,AI - POLY-AI
AID,AID - AidCoin
AION,AION - Aion
AIR,AIR - AirToken
AKY,AKY - Akuya-Coin
ALIS,ALIS - ALIS
AMBER,AMBER - AmberCoin
AMP,AMP - Synereo
ANC,ANC - Anoncoin
ANT,ANT - Aragon
APPC,APPC - AppCoins
APX,APX - Ventures
ARDR,ARDR - Ardor
ARK,ARK - Ark
ARN,ARN - Aeron
AST,AST - AirSwap
ATB,ATB - ATBCoin
ATM,ATM - ATMChain
ATS,ATS - Authorship
AUR,AUR - Auroracoin
AVT,AVT - Aventus
B3,B3 - B3Coin
BAT,BAT - Basic-Attention-Token
BAY,BAY - BitBay
BBR,BBR - Boolberry
BCAP,BCAP - BCAP
BCC,BCC - BitConnect
BCD,BCD - Bitcoin-Diamond
BCH,BCH - Bitcoin-Cash
BCN,BCN - Bytecoin
BCPT,BCPT - BlockMason-Credit-Protocol-Token
BCX,BCX - BitcoinX
BCY,BCY - BitCrystals
BDL,BDL - Bitdeal
BEE,BEE - Bee-Token
BELA,BELA - BelaCoin
BET,BET - DAO-Casino
BFT,BFT - BF-Token
BIS,BIS - Bismuth
BITB,BITD - BitBean
BITBTC,BITBTC - BitBTC
BITCNY,BITCNY - BitCNY
BITEUR,BITEUR - BitEUR
BITGOLD,BITGOLD - BitGOLD
BITSILVER,BITSILVER - BitSILVER
BITUSD,BITUSD - BitUSD
BIX,BIX - Bibox-Token
BLITZ,BLITZ - Blitzcash
BLK,BLK - Blackcoin
BLN,BLN - Bolenum
BLOCK,BLOCK - Blocknet
BLZ,BLZ - Bluzelle
BMC,BMC - Blackmoon-Crypto
BNB,BNB - Binance-Coin
BNT,BNT - Bancor-Network-Token
BNTY,BNTY - Bounty0x
BOST,BOST - BoostCoin
BOT,BOT - Bodhi
BQ,BQ - bitqy
BRD,BRD - Bread
BRK,BRK - Breakout-Coin
BRX,BRX - Breakout-Stake
BTA,BTA - Bata
BTC,BTC - Bitcoin
BTCD,BTCD - BitcoinDark
BTCP,BTCP - Bitcoin-Private
BTG,BTG - Bitcoin-Gold
BTM,BTM - Bitmark
BTS,BTS - BitShares
BTSR,BTSR - BTSR
BTX,BTX - Bitcore
BURST,BURST - Burstcoin
BUZZ,BUZZ - BuzzCoin
BYC,BYC - Bytecent
BYTOM,BYTOM - Bytom
C20,C20 - Crypto20
CANN,CANN - CannabisCoin
CAT,CAT - BlockCAT
CCRB,CCRB - CryptoCarbon
CDT,CDT - Blox
CFI,CFI - Cofound-it
CHAT,CHAT - ChatCoin
CHIPS,CHIPS - Chips
CLAM,CLAM - Clams
CLOAK,CLOAK - CloakCoin
CMP,CMP - Compcoin
CMT,CMT - CyberMiles
CND,CND - Cindicator
CNX,CNX - Cryptonex
COFI,COFI - CoinFi
COSS,COSS - COSS
COVAL,COVAL - Circuits-Of-Value
CRBIT,CRBIT - CreditBIT
CREA,CREA - CreativeCoin
CREDO,CREDO - Credo
CRW,CRW - Crown
CSNO,CSNO - BitDice
CTR,CTR - Centra
CTXC,CTXC - Cortex
CURE,CURE - CureCoin
CVC,CVC - Civic
DAI,DAI - Dai
DAR,DAR - Darcrus
DASH,DASH - Dash
DATA,DATA - DATAcoin
DAY,DAY - Chronologic
DBC,BDC - DeepBrain-Chain
DBIX,DBIX - DubaiCoin
DCN,DCN - Dentacoin
DCR,DCR - Decred
DCT,DCT - DECENT
DDF,DDF - Digital-Developers-Fund
DENT,DENT - Dent
DFS,DFS - DFSCoin
DGB,DGB - DigiByte
DGC,DGC - Digitalcoin
DGD,DGD - DigixDAO
DICE,DICE - Etheroll
DLT,DLT - Agrello-Delta
DMD,DMD - Diamond
DMT,DMT - DMarket
DNT,DNT - district0x
DOGE,DOGE - DogeCoin
DOPE,DOPE - DopeCoin
DRGN,DRGN - Dragonchain
DTA,DTA - Data
DTB,DTB - Databits
DYN,DYN - Dynamic
EAC,EAC - EarthCoin
EBST,EBST - eBoost
EBTC,EBTC - eBTC
ECC,ECC - ECC
ECN,ECN - E-coin
EDG,EDG - Edgeless
EDO,EDO - Eidoo
EFL,EFL - Electronic-Gulden
EGC,EGC - EverGreenCoin
EKT,EKT - EDUCare
ELA,ELA - Elastos
ELEC,ELEC - Electrify.Asia
ELF,ELF - aelf
ELIX,ELIX - Elixir
EMB,EMB - Embercoin
EMC,EMC - Emercoin
EMC2,EMC2 - Einsteinium
ENG,ENG - Enigma
ENJ,ENJ - Enjin-Coin
ENRG,ENRG - EnergyCoin
EOS,EOS - EOS
EOT,EOT - EOT-Token
EQT,EQT - EquiTrader
ERC,ERC - EuropeCoin
ETC,ETC - Ethereum-Classic
ETH,ETH - Ethereum
ETHD,ETHD - Ethereum-Dark
ETHOS,ETHOS - Ethos
ETN,ETN - Electroneum
