value,label
AAAP,AAAP - Advanced Accele. Ads
AAL,AAL - American Airlines Gp
AAME,AAME - Atlantic Amer Cp
AAOI,AAOI - Applied Optoelect Cmn
AAON,AAON - Aaon Inc
AAPC,AAPC - Atlantic Alliance Or
AAPL,AAPL - Apple Inc
AAWW,AAWW - Atlas Air Ww
AAXJ,AAXJ - Ishares MSCI Aca X-Japan
AAXN,AAXN - Axon Inc
ABAC,ABAC - Aoxin Tianli Grp
ABAX,ABAX - Abaxis Inc
ABCB,ABCB - Ameris Bancorp
ABCD,ABCD - Cambium Learning Grp
ABCO,ABCO - Advisory Board Co
ABDC,ABDC - Alcentra Capital Com
ABEO,ABEO - Abeona Therapeutics
ABEOW,ABEOW - Abeona Thera Wts
ABIL,ABIL - Ability Inc
ABIO,ABIO - Arca Biopharma Inc
ABMD,ABMD - Abiomed Inc
ABTL,ABTL - Autobytel Inc
ABTX,ABTX - Allegiance Banc CS
ABUS,ABUS - Arbutus Biopharma Cp
ABY,ABY - Atlantica Yield Plc
ACAD,ACAD - Acadia Pharmaceutica
ACBI,ACBI - Atlantic Capital Cmn
ACET,ACET - Aceto Cp
ACFC,ACFC - Atlantic Coast Finl
ACGL,ACGL - Arch Capital Grp Ltd
ACGLP,ACGLP - Arch Capital Group Ltd
ACHC,ACHC - Acadia Healthcr Co
ACHN,ACHN - Achillion Pharmaceut
ACIA,ACIA - Acacia Communica Cmn
ACIU,ACIU - AC Immune Sa
ACIW,ACIW - Aci Worldwide Inc
ACLS,ACLS - Axcelis Tech Inc
ACNB,ACNB - Acnb Corp
ACOR,ACOR - Acorda Therapeutics
ACRS,ACRS - Aclaris Therapts Cmn
ACRX,ACRX - Acelrx Pharmaceutica
ACSF,ACSF - American Capital Sen
ACST,ACST - Acasti Pharma Cmn A
ACTA,ACTA - Actua Corp Cmn
ACTG,ACTG - Acacia Res-Acacia
ACTX,ACTX - Glbl X Guru Actv ETF
ACWI,ACWI - Ishares MSCI ACWI
ACWX,ACWX - Ishares MSCI ACWI
ACXM,ACXM - Acxiom Cp
ADAP,ADAP - Adaptimmune Ther Ads
ADBE,ADBE - Adobe Systems Inc
ADES,ADES - Advanced Emissions Solutions Inc
ADHD,ADHD - Alcobra Ltd. Ord
ADI,ADI - Analog Devices Cmn
ADMA,ADMA - Adma Biologics Cmn
ADMP,ADMP - Adamis Pharmaceuticl
ADMS,ADMS - Adamas Pharma Cmn
ADP,ADP - Automatic Data Procs
ADRA,ADRA - Bldrs Asia 50 Fd
ADRD,ADRD - Bldrs Dev Mkts 100
ADRE,ADRE - Bldrs EM Mkts 50
ADRO,ADRO - Aduro Biotech Cmn
ADRU,ADRU - Bldrs EUR 100 Fd
ADSK,ADSK - Autodesk Inc
ADTN,ADTN - Adtran Inc
ADUS,ADUS - Addus Homecare Corpo
ADVM,ADVM - Adverum Biotechnlgs
ADXS,ADXS - Advaxis Inc Cmn Stk
ADXSW,ADXSW - Advaxis Inc Wts
AEGN,AEGN - Aegion Corp Cmn Stk
AEHR,AEHR - Aehr Test Systems
AEIS,AEIS - Advanced Energy
AEMD,AEMD - Aethlon Medical Cmn
AERI,AERI - Aerie Pharmaceutical
AETI,AETI - American Electric Te
AEY,AEY - Addvantage Techs Grp
AEZS,AEZS - Aeterna Zentaris
AFAM,AFAM - Almost Family Inc
AFH,AFH - Atlas Fincl Hld Ord
AFMD,AFMD - Affimed N.V.
AFSI,AFSI - Amtrust Financial
AGEN,AGEN - Agenus Inc
AGFS,AGFS - Agrofresh Solutions
AGFSW,AGFSW - Agrofresh Sol Wrrnts
AGII,AGII - Argo Group Intl Hlds
AGIIL,AGIIL - Argo Grp Itl Snr NTS
AGIO,AGIO - Agios Pharmaceutical
AGLE,AGLE - Aeglea Biothera Cmn
AGNC,AGNC - American Capital Age
AGNCB,AGNCB - American Cap Agy Cor
AGNCP,AGNCP - American Capital Pfd
AGND,AGND - Wt Brclys Usagg Ndur
AGRX,AGRX - Agile Therap Cmn Stk
AGTC,AGTC - Applied Genetic Tech
AGYS,AGYS - Agilysys Inc
AGZD,AGZD - Wt Barc Usagg Zro Dr
AHGP,AHGP - Alliance Holdings Gp
AHPA,AHPA - Avista Healthcare Public Acquisition Corp. Class
AHPAU,AHPAU - Avista Healthcare Public Acquisition Corp
AHPAW,AHPAW - Avista Healthcare Public Acquisition Corp. Warra
AHPI,AHPI - Allied Healthcare
AIA,AIA - Ishares Asia 50 ETF
AIMC,AIMC - Altra Indtl Mtn Cmn
AIMT,AIMT - Aimmune Therap Cmn
AINV,AINV - Apollo Investment Co
AIQ,AIQ - Alliance Hlthcare Cmn
AIRG,AIRG - Airgain Inc
AIRM,AIRM - Air Methods Cp
AIRR,AIRR - First Trust Rba Am I
AIRT,AIRT - Air T Inc
AKAM,AKAM - Akamai Technologies
AKAO,AKAO - Achaogen Inc Cmn
AKBA,AKBA - Akebia Therapeutics
AKER,AKER - Akers Biosciences Cmn
AKRX,AKRX - Akorn Inc
AKTS,AKTS - Akoustis Technologies Inc
AKTX,AKTX - Akari Therapeutics
ALBO,ALBO - Albireo Pharma Inc
ALCO,ALCO - Alico Inc
ALDR,ALDR - Alder Biopharma Cmn
ALDX,ALDX - Aldeyra Therapeu Cmn
ALGN,ALGN - Align Technology I
ALGT,ALGT - Allegiant Travel Com
ALIM,ALIM - Alimera Sciences Inc
ALJJ,ALJJ - Alj Regional Hold Cmn
ALKS,ALKS - Alkermes Plc
ALLT,ALLT - Allot Communications
ALNY,ALNY - Alnylam Pharmaceut
ALOG,ALOG - Analogic Cp
ALOT,ALOT - Astronova Inc
ALQA,ALQA - Alliqua Biomedical
ALRM,ALRM - Alarm.Com Cmn
ALSK,ALSK - Alaska Commun Sys
ALTY,ALTY - Global X Sprdv ETF
ALXN,ALXN - Alexion Pharm Inc
AMAG,AMAG - Amag Pharmaceuticals
AMAT,AMAT - Applied Materials
AMBA,AMBA - Ambarella Inc
AMBC,AMBC - Ambac Financial Grp
AMBCW,AMBCW - Ambac Financial Grp
AMCN,AMCN - Airmedia Group Inc
AMCX,AMCX - Amc Networks Cl A
AMD,AMD - Adv Micro Devices
AMDA,AMDA - Amedica Corporation
AMED,AMED - Amedisys Inc
AMGN,AMGN - Amgen
AMKR,AMKR - Amkor Technology
AMMA,AMMA - Alliance Mma Inc
AMNB,AMNB - American Natl Bksh
AMOT,AMOT - Allied Motion Tech
AMPH,AMPH - Amphastar Pharma Cmn
AMRB,AMRB - American River Bkshs
AMRI,AMRI - Albany Molecular Res
AMRK,AMRK - A-Mark Precious Meta
AMRN,AMRN - Amarin Corp Ads
AMRS,AMRS - Amyris Inc
AMSC,AMSC - Amer Superconductor
AMSF,AMSF - Amerisafe Inc
AMSWA,AMSWA - Amer Software Inc
AMTD,AMTD - TD Ameritrade HD Cmn
